Packet_UID,Generation_Time,Reception_Time,End_To_End_Delay,SW1_Arrival,SW1_Eligibility,SW1_Departure,SW2_Arrival,SW2_Eligibility,SW2_Departure,Diff_Eli_Dest_SW1,Diff_Eli_Dest_SW2,Diff_EntrySW1_ExitSW2,Stay_Time_SW1,Stay_Time_SW2,Inter_Departure
71,0.00067,0.000693175,2.3175e-05,0.000674089,0.00068,0.00068,0.000684089,0.000689086,0.000689086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
72,0.00068,0.000703175,2.3175e-05,0.000684089,0.00069,0.00069,0.000694089,0.000699086,0.000699086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
73,0.00069,0.000713175,2.3175e-05,0.000694089,0.0007,0.0007,0.000704089,0.000709086,0.000709086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
74,0.0007,0.000723175,2.3175e-05,0.000704089,0.00071,0.00071,0.000714089,0.000719086,0.000719086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
75,0.00071,0.000733175,2.3175e-05,0.000714089,0.00072,0.00072,0.000724089,0.000729086,0.000729086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
76,0.00072,0.000743175,2.3175e-05,0.000724089,0.00073,0.00073,0.000734089,0.000739086,0.000739086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
77,0.00073,0.000753175,2.3175e-05,0.000734089,0.00074,0.00074,0.000744089,0.000749086,0.000749086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
78,0.00074,0.000763175,2.3175e-05,0.000744089,0.00075,0.00075,0.000754089,0.000759086,0.000759086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
79,0.00075,0.000773175,2.3175e-05,0.000754089,0.00076,0.00076,0.000764089,0.000769086,0.000769086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
80,0.00076,0.000783175,2.3175e-05,0.000764089,0.00077,0.00077,0.000774089,0.000779086,0.000779086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
81,0.00077,0.000793175,2.3175e-05,0.000774089,0.00078,0.00078,0.000784089,0.000789086,0.000789086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
82,0.00078,0.000803175,2.3175e-05,0.000784089,0.00079,0.00079,0.000794089,0.000799086,0.000799086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
83,0.00079,0.000813175,2.3175e-05,0.000794089,0.0008,0.0008,0.000804089,0.000809086,0.000809086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
84,0.0008,0.000823175,2.3175e-05,0.000804089,0.00081,0.00081,0.000814089,0.000819086,0.000819086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
85,0.00081,0.000833175,2.3175e-05,0.000814089,0.00082,0.00082,0.000824089,0.000829086,0.000829086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
86,0.00082,0.000843175,2.3175e-05,0.000824089,0.00083,0.00083,0.000834089,0.000839086,0.000839086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
87,0.00083,0.000853175,2.3175e-05,0.000834089,0.00084,0.00084,0.000844089,0.000849086,0.000849086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
88,0.00084,0.000863175,2.3175e-05,0.000844089,0.00085,0.00085,0.000854089,0.000859086,0.000859086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
89,0.00085,0.000873175,2.3175e-05,0.000854089,0.00086,0.00086,0.000864089,0.000869086,0.000869086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
90,0.00086,0.000883175,2.3175e-05,0.000864089,0.00087,0.00087,0.000874089,0.000879086,0.000879086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
91,0.00087,0.000893175,2.3175e-05,0.000874089,0.00088,0.00088,0.000884089,0.000889086,0.000889086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
92,0.00088,0.000903175,2.3175e-05,0.000884089,0.00089,0.00089,0.000894089,0.000899086,0.000899086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
93,0.00089,0.000913175,2.3175e-05,0.000894089,0.0009,0.0009,0.000904089,0.000909086,0.000909086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
94,0.0009,0.000923175,2.3175e-05,0.000904089,0.00091,0.00091,0.000914089,0.000919086,0.000919086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
95,0.00091,0.000933175,2.3175e-05,0.000914089,0.00092,0.00092,0.000924089,0.000929086,0.000929086,1.3175e-05,4.089e-06,1.4997e-05,5.911e-06,4.997e-06,1e-05
